id,Sentence,Entities
1,Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country.,"London, Iraq"
2,"Families of soldiers killed in the conflict joined the protesters who carried banners with such slogans as"" Bush Number One Terrorist"" and"" Stop the Bombings.""",Bush
3,They marched from the Houses of Parliament to a rally in Hyde Park.,Hyde Park
5,The protest comes on the eve of the annual conference of Britain's ruling Labor Party in the southern English seaside resort of Brighton.,"Britain, Labor Party, Brighton"
6,"The party is divided over Britain's participation in the Iraq conflict and the continued deployment of 8,500 British troops in that country.",Iraq
7,The London march came ahead of anti-war protests today in other cities including Rome Paris and Madrid.,"London, Rome, Paris, Madrid"
8,The International Atomic Energy Agency is to hold second day of talks in Vienna Wednesday on how to respond to Iran's resumption of low-level uranium conversion.,"International Atomic Energy Agency, Vienna"
9,Iran this week restarted parts of the conversion process at its Isfahan nuclear plant.,Isfahan
10,Iranian officials say they expect to get access to sealed sensitive parts of the plant Wednesday after an IAEA surveillance system begins functioning.,IAEA
12,The European Union with U.S. backing has threatened to refer Iran to the U.N. Security Council which could impose sanctions if it finds Tehran has violated the Nuclear Non-Proliferation treaty.,"European Union, U.N. Security Council"
13,Iran's new President Mahmoud Ahmadinejad said Tuesday that European incentives aimed at persuading Iran to end its nuclear fuel program are an insult to the Iranian nation.,President Mahmoud Ahmadinejad
14,Two Germans and four Nigerian oil workers were kidnapped by armed militants during a raid on a boat in Nigeria's southern oil-rich Delta region.,"Nigeria, Delta"
15,An official with the German firm Bilfinger Berger Thomas Horbach said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell.,"Bilfinger Berger, Thomas Horbach, Delta State, Bayelsa State, Royal-Dutch Shell"
16,The German firm works as a sub-contractor for Shell.,Shell
17,Militant groups frequently attack oil operations in the Niger Delta to demand social services and better job opportunities from multinational companies.,Niger Delta
19,Suspected Islamist rebels have fired mortar shells at the palace used by Somalia's interim President Abdullahi Yusuf Ahmad.,"Somalia, President Abdullahi Yusuf Ahmad"
20,It was not immediately clear if the president was in the palace in Mogadishu when the attack occurred or if anyone was hurt.,Mogadishu
21,Local news reports said at least five mortar shells hit the palace compound and other mortars were fired elsewhere in Mogadishu Wednesday.,Mogadishu
23,Iraqi military officials say tanks and troops have arrived in the northern city Mosul for a new offensive against al Qaida in Iraq fighters.,"Mosul, al Qaida in Iraq"
24,Officials will not say how many troops have arrived in the Sunni Arab and Kurdish city where bombings last week killed at least 34 people and wounded more than 200.,"Sunni Arab, Kurdish"
